STATIONACCCODE,LINECODE,DIRECTION,TRAINID,ARRIVETIME,DEPATURETIME,ARRIVETIME_seconds,DEPATURETIME_seconds,TYPE,151019789,151019788,151019787,151019786,151019785,151019784,151019783,151019782,151019781,151019780,151019779,DEPARTURE_RATE_average_151019789_0,DEPARTURE_RATE_average_151019789_1,DEPARTURE_RATE_average_151019789_2,DEPARTURE_RATE_average_151019789_3,DEPARTURE_RATE_average_151019789_4,DEPARTURE_RATE_average_151019787_0,DEPARTURE_RATE_average_151019787_1,DEPARTURE_RATE_average_151019787_2,DEPARTURE_RATE_average_151019787_3,DEPARTURE_RATE_average_151019787_4,DEPARTURE_RATE_average_151019787_5,DEPARTURE_RATE_average_151019785_0,DEPARTURE_RATE_average_151019785_1,DEPARTURE_RATE_average_151019785_2,DEPARTURE_RATE_average_151019785_3,DEPARTURE_RATE_average_151019785_4,DEPARTURE_RATE_average_151019784_0,DEPARTURE_RATE_average_151019784_1,DEPARTURE_RATE_average_151019784_2,DEPARTURE_RATE_average_151019784_3,DEPARTURE_RATE_average_151019784_4,DEPARTURE_RATE_average_151019784_5,ARRIVETIME_average_151019789,ARRIVETIME_average_151019787,ARRIVETIME_average_151019785,ARRIVETIME_average_151019784,TRIP_TIME_average_151019789,TRIP_TIME_average_151019787,TRIP_TIME_average_151019785,TRIP_TIME_average_151019784,,,,,,,,151019789_aggregate_rate,,,,,,,,151019787_aggregate_rate,,,,,,,151019785_aggregate_rate,,,,,,,,151019784_aggregate_rate,,,,
151019778,L011,下行,181021,1899-12-30 07:19:00,1899-12-30 07:20:00,26340,26400,1,8.4,9.8,12.06666667,13.33333333,16.26666667,18,20.13333333,58.53333333,202.1333333,296.6,310.2666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,26500,,,,,,110,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,
151019778,L011,下行,51022,1899-12-30 07:22:00,1899-12-30 07:23:00,26520,26580,2,7.333333333,8.2,10.33333333,11.6,13.66666667,15.66666667,30.86666667,153,309.7333333,415.5333333,429.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,26680,,,,,,130,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,
151019778,L011,下行,191023,1899-12-30 07:25:30,1899-12-30 07:26:30,26730,26790,3,9.333333333,11.2,14.93333333,16.2,17.53333333,77.26666667,135.6,296.1333333,504.5333333,654.8666667,673.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,,,26900.33333,26911.70833,,,1380.333333,1291.708333,,140,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0.2,0,0,0,0.2,,0,0,0,0,0,1.6,1.6,,0.1282,0.9,0.11538
151019778,L011,下行,61024,1899-12-30 07:28:30,1899-12-30 07:29:30,26910,26970,4,6.466666667,8.2,11.06666667,11.73333333,100,190.4,246.4,385.2666667,554.4,682.8,697.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0.37,,,27071.57143,27080.67391,,,1413,1271.543478,,120,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0.933333333,0,0,0,0.933333333,,0.133333333,0,0,0,0.066666667,2.866666667,3.066666667,,0.1476,0.9,0.13284
151019778,L011,下行,201025,1899-12-30 07:31:30,1899-12-30 07:32:30,27090,27150,5,6.6,7.666666667,72.6,155.6666667,284.9333333,392.4666667,453.4,607.9333333,783.6666667,907.3333333,917.6,0,0,0,0,0,0,0,0,0,0.36,0,0,0.26,0,0,0,0,0,0,0,0,0.5,,27263.52,27261.65217,27264.38095,,1669.92,1439.043478,1289.142857,,160,0,0,0,0,0,0,,0,0,0,0,1.666666667,0,1.666666667,,0.133333333,1.4,0,0,0,1.533333333,,0.066666667,0,0,0,0,4.133333333,4.2,,0.1545,0.9,0.13905
151019778,L011,下行,71026,1899-12-30 07:34:30,1899-12-30 07:35:30,27270,27330,6,7.466666667,31.46666667,220.6666667,318.2,456.8,567.9333333,635.6666667,797.4666667,970.1333333,1093.6,1101.266667,0,0,0,0,0,0,0,0,0,0.44,0,0,0.33,0,0,0,0,0,0,0,0,0.69,27440.75,27426.875,27429.51351,27428.23288,1865.75,1701.875,1464.108108,1273.986301,,180,0,0,0,0,0.266666667,0.266666667,,0,0,0,0,2.133333333,0,2.133333333,,0.2,2.133333333,0,0.066666667,0.066666667,2.466666667,,0.066666667,0,0,0,0.066666667,4.733333333,4.866666667,,0.0066,0.9,0.00594
151019778,L011,下行,211027,1899-12-30 07:37:20,1899-12-30 07:38:20,27440,27500,7,176.3333333,252.2,372.1333333,473.8,639.4666667,719.0666667,766.6,881.6,998.4666667,1137.8,1144.666667,0,0,0,0,0,0,0,0,0,0.62,0,0,0.49,0,0,0,0,0,0,0,0,0.99,27630.40909,27607.78788,27622.125,27612.71795,1994.045455,1710.515152,1451.625,1278.871795,,180,0.066666667,0,0.066666667,0,1.333333333,1.466666667,,0,0,0,0,2.2,0,2.2,,0.133333333,2.333333333,0,0,0.2,2.666666667,,0,0,0,0,0,2.6,2.6,,,,
151019778,L011,下行,81028,1899-12-30 07:40:20,1899-12-30 07:41:20,27620,27680,8,255.8666667,338.6,543.4,648.8,845,977.6,1054.533333,1225.466667,1422.266667,1567.4,1563.866667,0,0,0,0,0.71,0,0,0,0,0.74,0,0,0.56,0,0,0,0,0,0,0,0,1.18,27782.2439,27771.2549,27770.14286,27761.93023,2020.292683,1720.666667,1479.428571,1293.55814,,180,0.066666667,0,0,0,2.666666667,2.733333333,,0,0,0.066666667,0,3.266666667,0.066666667,3.4,,0.066666667,1.733333333,0.066666667,0,0,1.866666667,,0,0.066666667,0,0.133333333,0,2.666666667,2.866666667,,0.1282,0.015,0.001923
151019778,L011,下行,221029,1899-12-30 07:43:00,1899-12-30 07:44:00,27780,27840,9,258.0666667,345.9333333,558.8666667,641.4,773.8666667,919.6666667,999.4666667,1193,1397.8,1491.333333,1483,0,0,0,0,1.01,0,0,0,0,1.07,0,0,0.78,0,0,0,0,0,0,0,0,1.78,27939.27273,27934.58974,27926.21875,27950.02326,2031.090909,1730.74359,1497.46875,1304.44186,,200,0.133333333,0,0,0,2.8,2.933333333,,0,0.133333333,0.066666667,0,4.866666667,0.133333333,5.2,,0.066666667,2.066666667,0,0,0,2.133333333,,0.133333333,0,0,0.133333333,0.066666667,2.533333333,2.866666667,,0.1476,0.015,0.002214
151019778,L011,下行,91030,1899-12-30 07:46:00,1899-12-30 07:47:00,27960,28020,10,267.6,362.2666667,581.5333333,707.5333333,904.2,1076.066667,1118.133333,1304.866667,1510.2,1655.733333,1648.733333,0,0,0,0,1.03,0,0,0,0,1.12,0,0,1.11,0,0,0,0,0,0,0,0,2.48,28015,28007.33333,28151.04615,28146.48113,2075,1757.333333,1545.815385,1333.650943,,170,0,0,0,0,0.2,0.2,,0,0,0,0,0.4,0,0.4,,0,8.333333333,0.2,0.133333333,0,8.666666667,,0.266666667,0,0,0,0,6.8,7.066666667,,0.1545,0.015,0.0023175
