STATIONACCCODE,LINECODE,DIRECTION,TRAINID,ARRIVETIME,DEPATURETIME,ARRIVETIME_seconds,DEPATURETIME_seconds,TYPE,151019789,151019788,151019787,151019786,151019785,151019784,151019783,151019782,151019781,151019780,151019779,DEPARTURE_RATE_average_0,DEPARTURE_RATE_average_1,DEPARTURE_RATE_average_2,DEPARTURE_RATE_average_3,DEPARTURE_RATE_average_4,ARRIVETIME_average,TRIP_TIME_average
151019778,L011,下行,181021,1899-12-30 07:19:00,1899-12-30 07:20:00,26340,26400,1,8.4,9.8,12.06666667,13.33333333,16.26666667,18,20.13333333,58.53333333,202.1333333,296.6,310.2666667,0,0,0,0,0,,
151019778,L011,下行,51022,1899-12-30 07:22:00,1899-12-30 07:23:00,26520,26580,2,7.333333333,8.2,10.33333333,11.6,13.66666667,15.66666667,30.86666667,153,309.7333333,415.5333333,429.2,0,0,0,0,0,,
151019778,L011,下行,191023,1899-12-30 07:25:30,1899-12-30 07:26:30,26730,26790,3,9.333333333,11.2,14.93333333,16.2,17.53333333,77.26666667,135.6,296.1333333,504.5333333,654.8666667,673.6,0,0,0,0,0,,
151019778,L011,下行,61024,1899-12-30 07:28:30,1899-12-30 07:29:30,26910,26970,4,6.466666667,8.2,11.06666667,11.73333333,100,190.4,246.4,385.2666667,554.4,682.8,697.3333333,0,0,0,0,0,,
151019778,L011,下行,201025,1899-12-30 07:31:30,1899-12-30 07:32:30,27090,27150,5,6.6,7.666666667,72.6,155.6666667,284.9333333,392.4666667,453.4,607.9333333,783.6666667,907.3333333,917.6,0,0,0,0,0,,
151019778,L011,下行,71026,1899-12-30 07:34:30,1899-12-30 07:35:30,27270,27330,6,7.466666667,31.46666667,220.6666667,318.2,456.8,567.9333333,635.6666667,797.4666667,970.1333333,1093.6,1101.266667,0,0,0,0,0,27440.75,1865.75
151019778,L011,下行,211027,1899-12-30 07:37:20,1899-12-30 07:38:20,27440,27500,7,176.3333333,252.2,372.1333333,473.8,639.4666667,719.0666667,766.6,881.6,998.4666667,1137.8,1144.666667,0,0,0,0,0,27630.40909,1994.045455
151019778,L011,下行,81028,1899-12-30 07:40:20,1899-12-30 07:41:20,27620,27680,8,255.8666667,338.6,543.4,648.8,845,977.6,1054.533333,1225.466667,1422.266667,1567.4,1563.866667,0,0,0,0,0.71,27782.2439,2020.292683
151019778,L011,下行,221029,1899-12-30 07:43:00,1899-12-30 07:44:00,27780,27840,9,258.0666667,345.9333333,558.8666667,641.4,773.8666667,919.6666667,999.4666667,1193,1397.8,1491.333333,1483,0,0,0,0,1.01,27939.27273,2031.090909
151019778,L011,下行,91030,1899-12-30 07:46:00,1899-12-30 07:47:00,27960,28020,10,267.6,362.2666667,581.5333333,707.5333333,904.2,1076.066667,1118.133333,1304.866667,1510.2,1655.733333,1648.733333,0,0,0,0,1.03,28015,2075
151019778,L011,下行,101032,1899-12-30 07:50:00,1899-12-30 07:51:00,28200,28260,11,373.7333333,494.8,782.5333333,960.4,1229.333333,1439.4,1559.933333,1777.133333,2044.933333,2247.666667,2240.6,0,0,0,0,1.6,28343.34615,2101.807692
151019778,L011,下行,111033,1899-12-30 07:53:40,1899-12-30 07:54:40,28420,28480,12,377.6,502.4,790.0666667,929.5333333,1207.8,1413.866667,1513.6,1794.866667,2068.8,2282.866667,2276.266667,0,0,0,0,2.63,28600.95313,2138.140625
151019778,L011,下行,231034,1899-12-30 07:57:40,1899-12-30 07:58:40,28660,28720,13,389.8,539.6,850.5333333,1031.4,1321.933333,1551.066667,1594.266667,1806.666667,2074.8,2282.533333,2274.066667,0,0,0,0,3.15,28719.21951,2163.609756
151019778,L011,下行,121036,1899-12-30 08:01:30,1899-12-30 08:02:30,28890,28950,14,391.4666667,513.9333333,808.4,1021.933333,1303.466667,1540.133333,1698.733333,1894.466667,2157,2347.8,2334.333333,0.65,0,0,0,6.04,29045.1194,2186.850746
